hours,attendance,marks
1,88,75
2,78,65
3,64,61
4,92,69
5,57,49
6,70,50
7,88,62
8,68,44
9,72,60
10,60,49
11,60,45
12,73,49
13,85,64
14,89,71
15,73,62
16,52,41
17,71,58
18,51,39
19,73,67
20,93,69
21,79,59
22,87,67
23,51,43
24,70,51
25,82,66
26,61,49
27,71,53
28,93,76
29,74,54
30,98,73
31,76,61
32,91,64
33,77,51
34,65,55
35,64,56
36,96,74
37,100,77
38,93,79
39,52,36
40,86,62
41,100,83
42,56,45
43,70,61
44,58,36
45,88,63
46,67,54
47,53,44
48,74,63
49,63,51
50,99,80
51,58,44
52,75,68
53,51,35
54,69,57
55,77,57
56,96,80
57,56,40
58,93,78
59,57,46
60,96,86
61,84,66
62,63,53
63,66,49
64,85,67
65,99,80
66,89,64
67,53,35
68,51,44
69,55,43
70,91,70
71,53,39
72,78,59
73,67,54
74,75,62
75,93,64
76,83,74
77,59,54
78,85,57
79,63,56
80,80,70
81,97,78
82,64,45
83,57,51
84,63,50
85,72,61
86,89,83
87,70,58
88,65,48
89,94,74
90,67,50
91,96,79
92,73,55
93,75,58
94,74,53
95,94,75
96,90,73
97,78,49
98,64,53
99,94,75
100,50,37
101,74,70
102,56,50
103,58,41
104,73,63
105,50,47
106,93,76
107,57,48
108,73,61
109,60,38
110,100,80
111,66,52
112,57,53
113,84,69
114,84,66
115,82,66
116,54,49
117,91,73
118,88,68
119,90,71
120,77,67
121,56,48
122,58,47
123,57,47
124,61,47
125,83,66
126,82,63
127,97,77
128,72,65
129,73,54
130,86,66
131,84,62
132,93,68
133,89,71
134,71,55
135,76,70
136,84,67
137,50,47
138,84,73
139,86,69
140,96,88
141,63,53
142,52,50
143,50,48
144,54,46
145,75,65
146,63,54
147,88,66
148,76,62
149,58,53
150,64,60
151,64,49
152,75,64
153,91,75
154,62,50
155,100,83
156,81,67
157,88,74
158,98,87
159,81,70
160,53,45
161,79,74
162,86,75
163,72,58
164,88,65
165,94,71
166,64,57
167,92,72
168,78,59
169,85,65
170,62,47
171,81,70
172,56,45
173,100,74
174,71,58
175,77,64
176,51,40
177,91,80
178,94,74
179,55,51
180,77,66
181,77,68
182,93,70
183,93,76
184,69,56
185,79,57
186,60,55
187,77,59
188,74,58
189,88,67
190,82,71
191,50,34
192,76,65
193,62,56
194,90,76
195,52,47
196,88,76
197,55,41
198,57,54
199,76,60
200,58,48
201,86,69
202,82,70
203,100,79
204,91,75
205,93,70
206,73,66
207,64,56
208,81,65
209,81,64
210,73,63
211,90,70
212,98,81
213,98,86
214,61,46
215,88,74
216,51,44
217,52,43
218,98,78
219,86,77
220,98,77
221,66,45
222,98,83
223,51,37
224,51,46
225,77,70
226,72,63
227,86,76
228,81,77
229,82,72
230,50,43
231,68,64
232,51,51
233,93,85
234,75,59
235,81,60
236,55,43
237,81,70
238,53,45
239,60,49
240,66,58
241,87,64
242,73,61
243,54,51
244,83,71
245,55,49
246,71,67
247,60,50
248,97,76
249,65,60
250,82,73
251,58,51
252,55,45
253,65,54
254,78,58
255,52,49
256,69,63
257,85,64
258,68,61
259,75,64
260,52,39
261,68,50
262,69,59
263,81,65
264,56,56
265,90,79
266,82,70
267,89,76
268,88,79
269,67,60
270,89,76
271,50,37
272,60,66
273,77,58
274,74,60
275,99,73
276,72,63
277,80,67
278,79,69
279,91,66
280,84,75
281,56,43
282,65,54
283,75,67
284,97,81
285,98,82
286,51,47
287,50,45
288,97,78
289,61,50
290,54,47
291,86,67
292,81,72
293,58,50
294,90,75
295,84,76
296,68,56
297,97,79
298,65,52
299,52,46
300,69,59
301,73,58
302,82,67
303,73,58
304,60,47
305,98,72
306,57,47
307,85,62
308,87,70
309,89,71
310,69,63
311,84,65
312,97,76
313,74,60
314,84,67
315,74,69
316,78,59
317,67,54
318,95,80
319,67,61
320,51,42
321,84,60
322,65,54
323,90,81
324,85,72
325,82,70
326,53,40
327,82,63
328,63,53
329,70,52
330,97,84
331,69,54
332,57,48
333,56,38
334,52,42
335,66,50
336,82,57
337,97,83
338,61,60
339,100,89
340,71,63
341,71,58
342,95,83
343,79,72
344,87,73
345,87,67
346,94,76
347,100,91
348,57,48
349,76,47
350,76,56
351,83,67
352,70,64
353,79,65
354,82,74
355,77,62
356,96,70
357,82,66
358,54,48
359,97,82
360,68,51
361,53,44
362,84,84
363,98,75
364,66,59
365,93,67
366,77,69
367,79,62
368,78,68
369,95,73
370,55,49
371,84,66
372,90,72
373,86,74
374,73,59
375,78,68
376,98,81
377,95,80
378,80,70
379,84,69
380,82,64
381,70,57
382,81,74
383,72,62
384,82,65
385,52,47
386,67,59
387,74,65
388,91,71
389,80,64
390,52,42
391,89,73
392,95,82
393,73,63
394,99,85
395,81,75
396,96,84
397,71,60
398,72,55
399,51,41
400,76,63
401,91,80
402,51,44
403,75,60
404,66,53
405,89,74
406,82,74
407,58,58
408,92,76
409,97,81
410,88,68
411,78,76
412,91,69
413,75,69
414,84,69
415,99,80
416,74,57
417,73,74
418,62,54
419,56,49
420,85,76
421,94,76
422,69,59
423,50,44
424,57,47
425,95,86
426,65,55
427,63,46
428,61,51
429,100,85
430,72,57
431,64,51
432,77,63
433,83,76
434,51,42
435,81,76
436,72,58
437,71,62
438,100,82
439,74,67
440,71,55
441,71,64
442,98,83
443,91,74
444,55,47
445,64,63
446,92,78
447,86,69
448,82,64
449,57,52
450,93,79
451,93,82
452,54,40
453,88,69
454,53,52
455,55,50
456,94,82
457,81,64
458,79,62
459,96,86
460,84,76
461,89,70
462,65,50
463,62,53
464,99,79
465,91,73
466,79,61
467,68,56
468,66,51
469,68,53
470,77,67
471,75,64
472,86,75
473,75,56
474,72,62
475,58,61
476,61,51
477,50,48
478,50,48
479,96,85
480,83,72
481,81,72
482,97,85
483,74,67
484,89,70
